dealno,north,south,par,ns,nh,nd,nc,np,ss,sh,sd,sc,sp,bid1,bid2,bid3,bid4,bid5,bid6,result,imp
215065, n T432.KQ7.AK87.76 ,s A86.T93.JT2.AJT9 ,120,4,3,4,2,12,3,3,3,4,10,1♠,Pass,no,no,no,no,110,0
215066, n AKJ7.QJ64.T4.KJT ,s QT854.A932.652.Q ,-100,4,4,2,3,15,5,4,3,1,8,1♠,Pass,no,no,no,no,140,6
215067, n AJ5.652.A93.K643 ,s Q83.QT8.K2.AJ752 ,430,3,3,3,4,12,3,3,2,5,12,3N,Pass,no,no,no,no,400,-1
215068, n T.AT76.KQ874.A86 ,s A82.KQ.T9652.Q32 ,800,1,4,5,3,13,3,2,5,3,11,3♦,6♦,Pass,no,no,no,920,3
215069, n AJ8.QJ93.AK9.AT8 ,s KQ75.KT84.8653.3 ,980,3,4,3,3,19,4,4,4,1,8,3N,6♥,Pass,no,no,no,980,0
215070, n AJ73.Q94.A8.Q643 ,s Q84.KJT852.J.KT8 ,-100,4,3,2,4,13,3,6,1,3,10,1♥,Pass,no,no,no,no,140,6
215071, n AQ5.764.A6.AT952 ,s KJ972.QT52.84.K7 ,100,3,3,2,5,14,5,4,2,2,9,1♠,Pass,no,no,no,no,140,1
215072, n 6.AKQ5432.K5.J32 ,s KQJ842..62.AK984 ,420,1,7,2,3,13,6,0,2,5,13,1♥,1♠,Pass,no,no,no,140,-7
215073, n AK64.AT.QJ43.873 ,s J9.875.T82.KQJT4 ,100,4,2,4,3,14,2,3,3,5,7,2♣,Pass,no,no,no,no,110,0
215074, n 96.KQJT87.54.AQ3 ,s QJ75.A5.KQ9873.8 ,100,2,6,2,3,12,4,2,6,1,12,1♥,Pass,no,no,no,no,140,1
215075, n AKJ64.J42.J97.J8 ,s T2.76.AKQ4.A7653 ,100,5,3,3,2,11,2,2,4,5,13,1♠,Pass,no,no,no,no,110,0
215076, n Q32.7.KJT4.KQJ92 ,s AJ94.AKQ54.98.43 ,430,3,1,4,5,12,4,5,2,2,14,3N,Pass,no,no,no,no,430,0
215077, n KQ8543.AQ986.AT. ,s J7.T432.942.AKJ9 ,450,6,5,2,0,15,2,4,3,4,9,3N,4♥,Pass,no,no,no,450,0
215078, n 52.KQJ5.A42.AJ92 ,s 94.A942.KQT.7543 ,420,2,4,3,4,15,2,4,3,4,9,1♥,4♥,Pass,no,no,no,420,0
215079, n AJ96.QT8.A7.AJ53 ,s Q742.4.KJ6.KQ976 ,980,4,3,2,4,16,4,1,3,5,11,3N,6♠,Pass,no,no,no,980,0
215080, n .AQ9873.J943.KQ5 ,s KT97..AKQ.AJ9764 ,920,0,6,4,3,12,4,0,3,6,17,3N,6♣,Pass,no,no,no,920,0
215081, n Q932.A7.AJ9.A863 ,s A5.KQT865.32.Q94 ,140,4,2,3,4,15,2,6,2,3,11,1♥,Pass,no,no,no,no,140,0
215082, n J64.AQ9.AK5.T874 ,s A9.T3.8643.AQ953 ,400,3,3,3,4,14,2,2,4,5,10,3N,Pass,no,no,no,no,400,0
215083, n A9.KJ93.AJ742.KQ ,s 3.AQ5.KT986.AJ82 ,1520,2,4,5,2,18,1,3,5,4,14,3N,7♣,7N,Pass,no,no,1520,0
215084, n K9.AJ95.8543.AQ3 ,s J8754.8.AQJ76.K4 ,430,2,4,4,3,14,5,1,5,2,11,3N,Pass,no,no,no,no,430,0
215085, n AJ6.KQJ.K4.KQ732 ,s K4.T82.Q96532.T5 ,110,3,3,2,5,19,2,3,6,2,5,1♦,Pass,no,no,no,no,110,0
215086, n KT.T.KJ974.AQJ63 ,s A96432.J962.52.K ,140,2,1,5,5,14,6,4,2,1,8,1♠,Pass,no,no,no,no,140,0
215087, n K6.J9.3.AKQJ7432 ,s 975.QT87654.AQ2. ,300,2,2,1,8,14,3,7,3,0,8,3N,Pass,no,no,no,no,430,4
215088, n A3.T4.AK974.KJ97 ,s J962.AKJ7.2.Q852 ,920,2,2,5,4,15,4,4,1,4,11,3N,6♣,Pass,no,no,no,920,0
215089, n 874.JT.AJ5.KQ973 ,s Q6.Q532.K962.A86 ,-100,3,2,3,5,11,2,4,4,3,11,1♥,Pass,no,no,no,no,80,5
215090, n Q82.K96.AQ7.QT96 ,s AJ976.QT3.K54.74 ,400,3,3,3,4,13,5,3,3,2,10,3N,Pass,no,no,no,no,400,0
215091, n AT96.A642.T5.K98 ,s QJ.QJ98.AJ982.A7 ,460,4,4,2,3,11,2,4,5,2,15,3N,Pass,no,no,no,no,460,0
215092, n A82.T64.K6542.A3 ,s QT653.AJ72.A9.Q6 ,140,3,3,5,2,11,5,4,2,2,13,1♠,Pass,no,no,no,no,140,0
215093, n Q8.86.Q832.AKT42 ,s AJ65.KQ752.95.J3 ,90,2,2,4,5,11,4,5,2,2,11,1N,Pass,no,no,no,no,90,0
215094, n KT63.KQ64.KJ4.A8 ,s AJ7.J93.T865.T72 ,300,4,4,3,2,16,3,3,4,3,6,3N,Pass,no,no,no,no,400,3
215095, n A4.54.AJT62.AQ43 ,s QJ652.T2.K75.JT8 ,100,2,2,5,4,15,5,2,3,3,7,1♠,Pass,no,no,no,no,110,0
215096, n AKQ2.KT862.Q6.A3 ,s JT985.QJ9.K942.4 ,450,4,5,2,2,18,5,3,4,1,7,1♠,4♠,Pass,no,no,no,450,0
215097, n AK.2.AQ732.KJ965 ,s 9843.J76.KJT5.Q3 ,130,2,1,5,5,17,4,3,4,2,7,1♦,Pass,no,no,no,no,130,0
215098, n AK987.T.AK9432.6 ,s 32.J73.QT.AQ8732 ,140,5,1,6,1,14,2,3,2,6,9,1♠,Pass,no,no,no,no,140,0
215099, n JT83.AQ8.AKQ6.QJ ,s Q965.J5.T874.T43 ,300,4,3,4,2,19,4,2,4,3,3,1♠,Pass,no,no,no,no,140,-4
215100, n Q86.AQ9.Q74.J865 ,s J.K653.J832.AKT7 ,-100,3,3,3,4,11,1,4,4,4,12,1♥,Pass,no,no,no,no,80,5
215101, n QJT4.A.AKJT54.Q8 ,s A863.K762.9873.A ,1520,4,1,6,2,17,4,4,4,1,11,3N,4♠,7♠,Pass,no,no,1510,0
215102, n T3.AK964.AKQJ2.3 ,s 9.QJ752.T873.K85 ,100,2,5,5,1,17,1,5,4,3,6,1♥,4♥,Pass,no,no,no,450,8
215103, n K8.963.AKJ5.A864 ,s AQ76.T2.QT73.KJ7 ,420,2,3,4,4,15,4,2,4,3,12,1♠,4♠,Pass,no,no,no,420,0
215104, n KQ92.Q.94.KQJT43 ,s AT.K986.QT62.982 ,-140,4,1,2,6,13,2,4,4,3,9,1♣,Pass,no,no,no,no,90,6
215105, n K.A92.653.KJT987 ,s AJ865.KJ3.QT984. ,120,1,3,3,6,11,5,3,5,0,11,1N,Pass,no,no,no,no,120,0
215106, n Q972.65.AT5.KQJT ,s K843.KQ9.K932.A8 ,460,4,2,3,4,12,4,3,4,2,15,3N,Pass,no,no,no,no,460,0
215107, n QJ.AQ52.743.AQ84 ,s 984.963.KQT8.KJ7 ,-100,2,4,3,4,15,3,3,4,3,9,1♥,Pass,no,no,no,no,80,5
215108, n KJ6.QJ5.AQ.KT843 ,s Q52.73.J642.AQ76 ,130,3,3,2,5,16,3,2,4,4,9,1♣,Pass,no,no,no,no,130,0
215109, n AQ73.Q3.A83.AQT5 ,s KJT92.5.9754.J83 ,300,4,2,3,4,18,5,1,4,3,5,1♠,4♠,Pass,no,no,no,420,3
215110, n .AT72.KQ32.AJT52 ,s KJ972.9653.A8.K3 ,450,0,4,4,5,14,5,4,2,2,11,3N,4♥,Pass,no,no,no,450,0
215111, n A42.AKQJ63.6.Q64 ,s KQ6.4.AK975.7532 ,430,3,6,1,3,16,3,1,5,4,12,3N,Pass,no,no,no,no,430,0
215112, n J74.AQT652.Q.Q87 ,s AQ95.J7.97.AK953 ,800,3,6,1,3,11,4,2,2,5,14,3♣,6♣,Pass,no,no,no,920,3
215113, n Q95.AK972.5.AK62 ,s AJ7.QT5.QJT62.85 ,450,3,5,1,4,16,3,3,5,2,10,3N,4♥,Pass,no,no,no,450,0
215114, n AJ8.AJ8.QJ.98542 ,s K96.K973.873.QT6 ,-110,3,3,2,5,13,3,4,3,3,8,1♣,Pass,no,no,no,no,90,5
215115, n AK5.AT83.AKJ.Q73 ,s J6.62.965432.AT5 ,120,3,4,3,3,21,2,2,6,3,5,1♦,Pass,no,no,no,no,110,0
215116, n K5.KT4.QJ.AJT643 ,s AQT2.AJ97.65.875 ,420,2,3,2,6,14,4,4,2,3,11,1♥,4♥,Pass,no,no,no,420,0
215117, n J.AJT972.42.AKJ6 ,s A4.Q5.T9865.Q953 ,100,1,6,2,4,14,2,2,5,4,8,1♥,4♥,Pass,no,no,no,420,8
215118, n J93.AQJT75.A8.73 ,s AK54.K4.Q53.AT82 ,460,3,6,2,2,12,4,2,3,4,16,3N,4♥,Pass,no,no,no,450,0
215119, n KQ54.AT753.6.A87 ,s 62.KJ6.KJT.KT943 ,430,4,5,1,3,13,2,3,3,5,11,3N,Pass,no,no,no,no,430,0
215120, n Q873.Q94.A74.A65 ,s AKT.KT76.93.9742 ,140,4,3,3,3,12,3,4,2,4,10,1♥,Pass,no,no,no,no,140,0
215121, n T54.QJ4.AK52.JT5 ,s AJ6.AT987.T984.A ,420,3,3,4,3,11,3,5,4,1,13,1♥,4♥,Pass,no,no,no,420,0
215122, n AQ876.AQT.J93.KQ ,s K2.J5.KT8.JT6542 ,430,5,3,3,2,18,2,2,3,6,8,3N,Pass,no,no,no,no,430,0
215123, n 73.AKJ6.AJ64.K73 ,s J5.Q2.Q97532.862 ,-100,2,4,4,3,16,2,2,6,3,5,1♦,Pass,no,no,no,no,110,5
215124, n T8.K6.K95.AKT953 ,s A53.JT3.Q43.J762 ,-100,2,2,3,6,13,3,3,3,4,8,1♣,Pass,no,no,no,no,110,5
215125, n KJ.K52.K762.A852 ,s Q95432.A9.Q3.Q63 ,420,2,3,4,4,14,6,2,2,3,10,3N,4♠,Pass,no,no,no,420,0
215126, n QT74.AJ7.8.AQ976 ,s AJ962.K843.2.K53 ,980,4,3,1,5,13,5,4,1,3,11,3N,6♠,Pass,no,no,no,980,0
215127, n KQ752.87.Q86.A63 ,s 94.Q92.AT732.KQ4 ,110,5,2,3,3,11,2,3,5,3,11,1♠,Pass,no,no,no,no,110,0
215128, n AKJ4.J9872.AJ72. ,s 95.63.KQT94.AKT3 ,430,4,5,4,0,14,2,2,5,4,12,3N,Pass,no,no,no,no,430,0
215129, n K86.AQJ3.AK8762. ,s 92.842.95.AKJ973 ,420,3,4,6,0,17,2,3,2,6,8,1♥,4♥,Pass,no,no,no,420,0
215130, n 7.QJ752.A2.AKJ52 ,s KQ832.K.9753.974 ,110,1,5,2,5,15,5,1,4,3,8,1♣,Pass,no,no,no,no,110,0
215131, n K3.A75.KQJT98.K9 ,s A965.Q4.6542.AQ2 ,460,2,3,6,2,16,4,2,4,3,12,3N,Pass,no,no,no,no,430,-1
215132, n A98652.A8.T4.A62 ,s JT4.KT6.AKQ6.Q43 ,430,6,2,2,3,12,3,3,4,3,15,3N,Pass,no,no,no,no,430,0
215133, n AQ.432.872.AK982 ,s 85.AT97.AQT6.JT7 ,460,2,3,3,5,13,2,4,4,3,11,3N,Pass,no,no,no,no,460,0
215134, n KJ.93.Q872.AK864 ,s Q4.AQJT54.T53.73 ,-100,2,2,4,5,13,2,6,3,2,9,1♥,Pass,no,no,no,no,110,5
215135, n KJT87.3.AKJ6.T87 ,s A.AKJ5.543.KJ432 ,430,5,1,4,3,12,1,4,3,5,16,3N,Pass,no,no,no,no,430,0
215136, n A976.96.KT93.AT3 ,s 2.74.AJ54.KQJ876 ,400,4,2,4,3,11,1,2,4,6,11,3N,5♣,Pass,no,no,no,400,0
215137, n J852.K65.AKJ.852 ,s K3.T87.753.AQJT3 ,120,4,3,3,3,12,2,3,3,5,10,1N,Pass,no,no,no,no,120,0
215138, n JT76.AQ3.QJ765.K ,s AQ85.T984.432.A8 ,420,4,3,5,1,13,4,4,3,2,10,1♠,4♠,Pass,no,no,no,420,0
215139, n AQ954.KJT42.K7.3 ,s KT86.A8.QT9.AKJ6 ,990,5,5,2,1,13,4,2,3,4,17,3N,6N,Pass,no,no,no,990,0
215140, n AJ87.75.Q4.KQ962 ,s Q6432.A.A973.743 ,300,4,2,2,5,12,5,1,4,3,10,1♠,4♠,Pass,no,no,no,420,3
215141, n 62.AK43.A6.KJ973 ,s J543.8.KQJT5.AT8 ,430,2,4,2,5,15,4,1,5,3,11,3N,Pass,no,no,no,no,430,0
215142, n A3.Q87.AK8643.Q8 ,s 8642.A94.QJT.952 ,100,2,3,6,2,15,4,3,3,3,7,2N,Pass,no,no,no,no,120,1
215143, n 76.AJ53.AKT65.J2 ,s T983.K64.973.AQ8 ,110,2,4,5,2,13,4,3,3,3,9,1♦,Pass,no,no,no,no,110,0
215144, n A4.873.AKQ852.43 ,s Q3.KT642.74.K986 ,-420,2,3,6,2,13,2,5,2,4,8,1♥,Pass,no,no,no,no,80,11
215145, n KJ53.Q2.AK.AT832 ,s QT9762.63.642.Q7 ,-100,4,2,2,5,17,6,2,3,2,4,1♠,Pass,no,no,no,no,140,6
215146, n 965.JT6.A64.AK82 ,s JT.7543.KQJ9.QT4 ,-100,3,3,3,4,12,2,4,4,3,9,1♥,Pass,no,no,no,no,80,5
215147, n AT54.J9872.A4.Q7 ,s QJ32.AQ3.JT83.62 ,140,4,5,2,2,11,4,3,4,2,10,1♥,Pass,no,no,no,no,140,0
215148, n KQ.KQ84.KQ.KT765 ,s A9.AJT3.532.9843 ,140,2,4,2,5,18,2,4,3,4,9,1♥,Pass,no,no,no,no,140,0
215149, n Q.AK873.9.KQJ963 ,s J87.QJ62.A84.875 ,300,1,5,1,6,15,3,4,3,3,8,1♥,4♥,Pass,no,no,no,450,4
215150, n A3.A753.A962.Q98 ,s T65.KT984.T7.A72 ,420,2,4,4,3,14,3,5,2,3,7,1♥,4♥,Pass,no,no,no,420,0
215151, n J.AJ95.AJ982.A72 ,s A9864.KQ42.65.K3 ,980,1,4,5,3,15,5,4,2,2,12,3N,6♥,Pass,no,no,no,980,0
215152, n 2.AQJT965.A8.J42 ,s KQJ.K7.96532.AQ8 ,460,1,7,2,3,12,3,2,5,3,15,3N,Pass,no,no,no,no,460,0
215153, n 5.AQJ5.AJ62.AQ72 ,s K8432.K.Q43.9843 ,400,1,4,4,4,18,5,1,3,4,8,3N,Pass,no,no,no,no,400,0
215154, n AKQJT.K.A932.T53 ,s 762.Q92.KJT4.AKQ ,990,5,1,4,3,17,3,3,4,3,15,3N,6N,Pass,no,no,no,990,0
215155, n AK97.A32.T74.964 ,s T8.K8765.AKJ.T87 ,110,4,3,3,3,11,2,5,3,3,11,1♥,Pass,no,no,no,no,110,0
215156, n AJ4.K9.QJT8.Q652 ,s Q97.J5.763.AK987 ,-300,3,2,4,4,13,3,2,3,5,10,1♣,Pass,no,no,no,no,110,9
215157, n AQ63.K98542.J.K5 ,s K97..AKQ87.Q9876 ,400,4,6,1,2,13,3,0,5,5,14,3N,Pass,no,no,no,no,400,0
215158, n 42.AQJ5.T52.AJ76 ,s QJ8.KT6.Q987.KQT ,120,2,4,3,4,12,3,3,4,3,13,1♥,Pass,no,no,no,no,110,0
215159, n A6.AQ2.93.KQT754 ,s QJ7542.6.AK64.A3 ,920,2,3,2,6,15,6,1,4,2,14,3N,6♣,Pass,no,no,no,920,0
215160, n KQ82.KQJ97.AT4.5 ,s A43.T542.KJ865.3 ,450,4,5,3,1,15,3,4,5,1,8,1♥,4♥,Pass,no,no,no,450,0
215161, n AJ.AQT42.64.QT53 ,s Q754.7.KQT85.K74 ,400,2,5,2,4,13,4,1,5,3,10,3N,Pass,no,no,no,no,400,0
215162, n AQ.8732.AT52.J85 ,s 432.AK.KJ763.943 ,400,2,4,4,3,11,3,2,5,3,11,3N,Pass,no,no,no,no,400,0
215163, n K73.AQT.952.AK73 ,s AJ85.8.AJT43.JT2 ,990,3,3,3,4,16,4,1,5,3,11,3N,6N,Pass,no,no,no,990,0
215164, n A954.AJ64.J96.A7 ,s Q2.QT98532.AK3.3 ,460,4,4,3,2,14,2,7,3,1,11,3N,Pass,no,no,no,no,460,0
215165, n Q4.AQJ73.AQ96.75 ,s T7.4.JT3.AQJ9642 ,-100,2,5,4,2,15,2,1,3,7,8,1♣,Pass,no,no,no,no,110,5
215166, n 9843.AK42.AJ.T43 ,s AQ2.J85.Q985.K87 ,120,4,4,2,3,12,3,3,4,3,12,1♥,Pass,no,no,no,no,110,0
215167, n AK87.KJ97.AJ.K83 ,s 53.A864.K52.AQ54 ,1510,4,4,2,3,19,2,4,3,4,13,3N,4♥,7♥,Pass,no,no,1510,0
215168, n AQT72.5.AKJ75.J7 ,s K86.AT864.643.T4 ,450,5,1,5,2,15,3,5,3,2,7,1♠,4♠,Pass,no,no,no,450,0
215169, n J2.AQJ85.K72.AQ7 ,s K864.T4.A84.T965 ,400,2,5,3,3,17,4,2,3,4,7,3N,Pass,no,no,no,no,400,0
215170, n QT82.AK.KJ3.AK73 ,s A9.832.Q75.QJT96 ,460,4,2,3,4,20,2,3,3,5,9,3N,Pass,no,no,no,no,460,0
