north,east,south,west,sn,hn,dn,cn,pn,ln,ctn,ss,hs,ds,cs,ps,ls,cts,tcn,tdn,thn,tsn,tnn,tce,tde,the,tse,tne,tcs,tds,ths,tss,tns,tcw,tdw,thw,tsw,tnw,parNS,parEW
 n AKJ854.KJ7.2.732 ,e T7.A8.KJ73.A9864 ,s Q2.9532.AT854.QJ ,w 963.QT64.Q96.KT5 ,6,3,1,3,12,650,4,2,4,5,2,9,900,2,4,5,7,8,7,7,7,6,5,6,4,5,7,8,7,7,7,6,5,6,110,-110
 n A6543.KJ87.72.A4 ,e JT82.54.Q9653.75 ,s KQ.T32.AT4.JT863 ,w 97.AQ96.KJ8.KQ92 ,5,4,2,2,12,700,5,2,3,3,5,10,900,3,8,6,8,8,8,5,7,4,4,5,8,6,9,8,8,5,7,4,4,5,140,-140
 n AQJ8742.Q..K5432 ,e 9.9864.Q975.AT98 ,s 5.AK32.JT864.QJ7 ,w KT63.JT75.AK32.6 ,7,1,0,5,12,350,3,1,4,5,3,11,700,3,10,6,5,10,8,2,6,6,3,5,10,6,5,10,8,3,7,7,3,5,420,-420
 n AQ753.AQ854..T74 ,e J.J72.K9754.J953 ,s 42.KT93.QJ832.Q2 ,w KT986.6.AT6.AK86 ,5,5,0,3,12,500,4,2,4,5,2,8,800,1,3,5,9,7,7,9,8,4,6,6,3,5,9,7,7,10,8,4,6,6,-100,100
 n KT962.AQ7.7.K943 ,e AQJ83.T53.KJ63.A ,s .KJ2.AQ942.J7652 ,w 754.9864.T85.QT8 ,5,3,1,4,12,600,4,0,3,5,5,11,600,3,11,8,8,8,8,2,4,5,5,5,11,8,8,8,7,2,4,5,5,5,400,-400
 n AKQ432.Q54.T7.AT ,e J7.963.QJ2.Q9753 ,s 85.K87.A64.J8642 ,w T96.AJT2.K9853.K ,6,3,2,2,15,550,5,2,3,3,5,8,900,3,8,6,7,9,8,4,7,6,3,4,8,6,7,9,8,4,7,6,3,4,140,-140
 n AQ542.KQT4.4.KT2 ,e T8.J87.T5.QJ8654 ,s J9.62.KJ87632.A7 ,w K763.A953.AQ9.93 ,5,4,1,3,14,500,4,2,2,7,2,9,700,3,5,9,7,8,8,7,4,5,4,5,5,9,7,9,8,7,4,6,4,5,140,-140
 n AK532.AQ7.J82.T4 ,e Q84.J642.AT53.Q5 ,s J7.KT85.64.A9873 ,w T96.93.KQ97.KJ62 ,5,3,3,2,14,700,5,2,4,2,5,8,800,3,8,5,8,9,7,5,7,4,4,5,8,5,8,9,7,5,7,4,4,5,140,-140
 n AJT87.AQ.A93.Q65 ,e 952.JT632.KT8.T3 ,s 63.K8.Q764.AJ874 ,w KQ4.9754.J52.K92 ,5,2,3,3,17,650,6,2,2,4,5,10,750,3,10,10,7,10,8,3,3,6,3,3,10,10,7,10,8,3,3,6,3,3,420,-420
 n KQT97.76.A94.QJ2 ,e 86532.AKQJ82.73. ,s .T53.KJT652.AK53 ,w AJ4.94.Q8.T98764 ,5,2,3,3,12,700,3,0,3,6,4,11,550,4,8,11,6,5,6,5,1,7,6,3,8,10,6,5,6,5,1,7,6,3,400,-400
 n AKQ42.876.K9.T87 ,e 986.AKQ943.54.93 ,s J5.J52.QJ32.QJ54 ,w T73.T.AT876.AK62 ,5,3,2,3,12,700,4,2,3,4,4,8,900,0,6,4,4,6,4,6,7,9,6,8,6,4,4,6,4,6,7,9,6,8,-140,140
 n KQJ64.K63.852.A2 ,e 92.A4.T43.KQJ963 ,s A7.T852.AJ96.T85 ,w T853.QJ97.KQ7.74 ,5,3,3,2,13,700,4,2,4,4,3,9,900,4,5,7,7,8,7,8,5,5,5,5,4,7,7,8,7,8,5,5,5,5,100,-100
 n AKQT2.A.QT95.A72 ,e 764.Q763.A32.KT9 ,s .KJT542.KJ864.J5 ,w J9853.98.7.Q8643 ,5,1,4,3,19,450,7,0,6,5,2,9,550,2,8,12,10,8,10,5,1,2,5,3,8,12,10,8,10,5,1,2,5,3,920,-920
 n AQJ952.AJ76.K.53 ,e K4.92.964.AKQJ97 ,s T8.KQ53.AQT532.8 ,w 763.T84.J87.T642 ,6,4,1,2,15,500,5,2,4,6,1,11,500,3,6,11,12,11,7,7,2,1,1,2,6,11,12,11,7,7,2,1,1,2,980,-980
 n AQ975.A985.42.AK ,e J.J763.QJ83.JT98 ,s .QT42.A9.Q765432 ,w KT86432.K.KT765. ,5,4,2,2,17,500,7,0,4,2,7,8,600,2,12,6,11,6,9,1,7,0,7,1,12,6,12,6,9,1,7,0,7,1,980,-980
 n KJ752.KQJ95.J9.Q ,e AT3.A7.A7642.J43 ,s 6.T6432.Q3.AK875 ,w Q984.8.KT85.T962 ,5,5,2,1,13,600,2,1,5,2,5,9,700,3,7,3,9,6,4,5,9,3,7,7,7,3,9,6,4,5,9,3,7,7,100,-100
 n AK86432.Q3.K4.AT ,e Q95.A.AJ8532.732 ,s 7.KJ54.QT7.KJ954 ,w JT.T98762.96.Q86 ,7,2,2,2,16,500,6,1,4,3,5,10,750,2,10,7,9,10,10,2,6,4,3,2,10,7,9,10,10,3,6,4,3,3,430,-430
 n AK963.6.AK98.Q83 ,e Q8.JT72.54.KJ752 ,s T2.KQ43.Q73.AT96 ,w J754.A985.JT62.4 ,5,1,4,3,16,550,6,2,4,3,4,11,750,3,10,10,8,10,9,3,3,5,3,3,10,10,8,10,9,3,3,5,3,3,420,-420
 n KQ643..K8763.AT7 ,e JT8.K743.JT94.J5 ,s 95.QT62.AQ2.Q982 ,w A72.AJ985.5.K643 ,5,0,5,3,12,500,4,2,4,3,4,10,800,2,8,10,5,8,6,4,3,8,3,4,8,10,5,9,8,5,3,8,4,5,140,-140
 n KJT94.A65.A743.T ,e Q8753.J94.T5.J96 ,s 62.KQ873.K2.Q543 ,w A.T2.QJ986.AK872 ,5,3,4,1,12,650,5,2,5,2,4,10,650,2,5,6,10,9,7,8,6,2,4,4,5,7,10,9,8,8,6,2,4,4,420,-420
 n KQJT973.T.A84.Q7 ,e 84.Q975.Q65.AK54 ,s A.J82.KJ32.T9632 ,w 652.AK643.T97.J8 ,7,1,3,2,12,600,3,1,3,4,5,9,800,3,8,8,5,10,6,4,4,8,2,2,8,8,5,10,6,4,2,7,2,2,420,-420
 n AKQ83.K82.K95.74 ,e 92.Q4.87.KQT8532 ,s 76.AT65.AJT432.J ,w JT54.J973.Q6.A96 ,5,3,3,2,15,600,5,2,4,6,1,10,650,4,6,12,10,11,6,7,1,2,2,1,6,12,10,11,6,7,1,2,2,1,920,-920
 n KQT642.A6.K7.KQ2 ,e .Q87532.J53.J643 ,s 87.KJT4.T96.AT85 ,w AJ953.9.AQ842.97 ,6,2,2,3,17,400,5,2,4,3,4,8,850,3,10,6,9,10,8,3,6,4,3,2,9,6,9,10,8,3,7,4,3,3,420,-420
 n KJT986.A.KJ98.A5 ,e Q42.KT98742.A43. ,s 75.QJ5.Q.KQJ8764 ,w A3.63.T7652.T932 ,6,1,4,2,16,450,6,2,3,1,7,11,600,1,11,7,5,10,10,2,5,8,3,3,11,6,5,9,10,2,5,8,3,3,430,-430
 n KT732.AT82.KJ.K6 ,e Q964.QJ4.AQ5.A95 ,s AJ.K5.87643.Q873 ,w 85.9763.T92.JT42 ,5,4,2,2,14,600,5,2,2,5,4,10,750,3,7,8,7,9,8,5,5,6,4,5,7,8,7,9,7,5,5,5,4,5,140,-140
 n AJT8653.5.AJ.K83 ,e K4.KT863.KQT.Q92 ,s 9.AJ74.9862.AT64 ,w Q72.Q92.7543.J75 ,7,1,2,3,13,550,5,1,4,4,4,9,800,4,9,8,7,10,6,4,4,6,3,4,9,8,7,10,6,4,4,6,3,4,420,-420
 n KQ754.QJT93.KJ6. ,e A32.K75.T7.AQT42 ,s T8.A62.A8532.J65 ,w J96.84.Q94.K9873 ,5,5,3,0,12,500,2,2,3,5,3,9,900,4,5,10,11,9,7,7,2,1,1,3,5,10,11,9,7,8,2,2,2,3,450,-450
 n AK872.975.A.AJ96 ,e 53.KT82.QT863.K5 ,s J6.AJ63.J9.QT843 ,w QT94.Q4.K7542.72 ,5,3,1,4,16,600,7,2,4,2,5,9,850,2,10,5,9,9,8,2,7,4,3,5,11,5,9,9,8,2,7,4,4,5,400,-400
 n KJ854..Q953.AKQ2 ,e A6.J973.J82.J753 ,s 72.AKQT842.T.986 ,w QT93.65.AK764.T4 ,5,0,4,4,15,450,4,2,7,1,3,9,600,3,8,6,10,7,7,4,6,2,4,6,8,6,10,7,6,4,7,2,6,6,420,-420
 n QT654.QJ.32.AK63 ,e J8732.A54.J8.842 ,s A9.K8632.K764.J9 ,w K.T97.AQT95.QT75 ,5,2,2,4,12,750,3,2,5,4,2,11,700,4,6,6,7,7,7,7,6,5,5,5,6,6,7,7,7,7,6,5,5,5,90,-90
 n QT98654.KJ9.K.A8 ,e A2.5.T95432.KQ93 ,s 7.A8762.AJ876.T5 ,w KJ3.QT43.Q.J7642 ,7,3,1,2,13,600,4,1,5,5,2,9,700,4,4,7,10,9,7,8,5,2,3,6,4,7,10,9,7,8,6,2,3,6,420,-420
 n AQ975.J85.K.K942 ,e J86.32.AT97.AT63 ,s T4.KQT4.QJ852.Q7 ,w K32.A976.643.J85 ,5,3,1,4,13,650,4,2,4,5,2,10,700,1,8,9,9,8,8,5,4,4,4,5,8,9,9,8,8,5,4,4,4,5,140,-140
 n AQJ53.84.AQ.9543 ,e 742.Q.J98762.AK7 ,s K.T752.K53.QJ862 ,w T986.AKJ963.T4.T ,5,2,2,4,13,600,4,1,4,3,5,9,750,2,9,4,5,8,8,4,7,7,4,5,9,4,5,8,8,4,7,7,4,5,120,-120
 n A9765.JT.AK43.72 ,e 4.8742.QT6.A8543 ,s Q8.A95.9875.KJT9 ,w KJT32.KQ63.J2.Q6 ,5,2,4,2,12,700,5,2,3,4,4,10,850,3,6,9,5,7,7,6,4,7,5,5,7,9,6,8,7,6,4,7,5,5,110,-110
 n JT9652.AK2.J.QJ3 ,e Q43.JT.632.KT954 ,s A8.Q9875.AT9.862 ,w K7.643.KQ8754.A7 ,6,3,1,3,12,700,3,2,5,3,3,10,850,4,6,4,9,9,7,7,8,4,4,4,6,4,9,9,8,7,8,4,4,4,140,-140
 n AQ98654.J.Q97.K2 ,e J7.AKQT9.AT64.85 ,s K2.87654.2.AQJ96 ,w T3.32.KJ853.T743 ,7,1,3,2,12,550,3,2,5,1,5,10,550,3,11,2,3,11,3,1,9,7,1,1,11,2,3,11,3,1,9,7,1,1,450,-450
 n AKQJ3.AQT72.QT5. ,e T875.KJ.K8.QJ984 ,s 4.9654.J974.AK53 ,w 962.83.A632.T762 ,5,5,3,0,18,350,5,1,4,4,4,8,800,3,6,10,10,9,10,6,3,2,2,3,6,10,10,9,10,6,3,2,3,3,430,-430
 n AT542.A6.A6.K632 ,e J3.Q2.Q843.QJ875 ,s 98.J873.K752.AT9 ,w KQ76.KT954.JT9.4 ,5,2,2,4,15,600,7,2,4,4,3,8,900,3,9,7,7,8,7,4,6,5,5,6,9,7,7,8,7,4,6,5,5,6,110,-110
 n AK8543.AQT.74.J3 ,e QJ96.KJ7.T.AQ986 ,s T.98543.AK5.K542 ,w 72.62.QJ98632.T7 ,6,3,2,2,14,600,5,1,5,3,4,10,700,4,7,6,10,8,7,6,7,3,5,5,7,6,9,8,7,5,7,3,5,5,420,-420
 n QT752.K3.K842.A9 ,e K984.AJ72.73.Q76 ,s AJ.T8654.AQT95.2 ,w 63.Q9.J6.KJT8543 ,5,2,4,2,12,650,4,2,5,5,1,11,600,4,5,11,9,10,8,8,2,4,3,3,5,11,9,9,8,8,2,4,3,3,420,-420
 n AT753.KJ4.J42.A3 ,e 98.A9852.98.8764 ,s 4.QT73.AT763.KT2 ,w KQJ62.6.KQ5.QJ95 ,5,3,3,2,13,800,5,1,4,5,3,9,750,3,6,10,8,7,7,7,3,4,6,5,6,10,8,7,8,7,3,4,6,5,130,-130
 n KJT75.A72.AJ.T73 ,e Q9843.986.QT7.J6 ,s .KQ54.K9864.Q985 ,w A62.JT3.532.AK42 ,5,3,2,3,13,750,5,0,4,5,4,10,550,2,9,10,9,8,9,4,3,3,5,4,9,10,10,8,9,4,3,3,5,4,420,-420
 n AQ8532.Q8.AK87.K ,e 76.65.QT64.QT743 ,s JT.JT972.J.AJ652 ,w K94.AK43.9532.98 ,6,2,4,1,18,450,6,2,5,1,5,8,800,2,9,8,10,10,9,4,5,2,2,3,9,8,10,10,9,4,5,2,2,4,420,-420
 n JT762.3.A53.AK98 ,e AQ84.AK86.Q62.52 ,s 95.QJ4.KJT94.Q74 ,w K3.T9752.87.JT63 ,5,1,3,4,12,700,5,2,3,5,3,9,800,1,8,10,5,8,8,4,3,8,5,4,8,10,5,8,8,4,3,8,5,4,130,-130
 n AKQT974.A2.2.KQ8 ,e J6.K964.AT4.JT73 ,s 82.QJT87.KQ985.2 ,w 53.53.J763.A9654 ,7,2,1,3,18,300,6,2,5,5,1,8,600,1,7,8,10,10,10,6,5,3,3,3,6,8,9,10,9,6,5,3,2,3,430,-430
 n AJT64.AKQ93.2.A6 ,e K973.4.Q976.K985 ,s 82.82.AKJ53.QJ73 ,w Q5.JT765.T84.T42 ,5,5,1,2,18,350,7,2,2,5,4,11,650,3,9,11,10,10,10,3,2,2,2,2,9,10,10,10,10,3,2,3,3,3,430,-430
 n AQ9762.AK.763.T8 ,e T5.7543.KQT5.A94 ,s K4.J6.A92.QJ7632 ,w J83.QT982.J84.K5 ,6,2,3,2,13,600,5,2,2,3,6,11,700,3,9,5,6,9,9,3,7,7,4,4,9,5,6,9,9,3,7,7,4,4,400,-400
 n QJT862.A2.Q7.KT4 ,e K95.KJT3.864.Q82 ,s A.Q75.AT9532.J95 ,w 743.9864.KJ.A763 ,6,2,2,3,12,700,3,1,3,6,3,11,750,4,7,10,6,9,8,5,3,6,4,5,7,9,6,9,8,5,3,6,4,5,140,-140
 n AJT65.QJ.A8.T954 ,e 2.973.KQT742.AQ6 ,s K8.KT52.J3.KJ832 ,w Q9743.A864.965.7 ,5,2,2,4,12,750,4,2,4,2,5,11,700,3,10,5,7,8,6,2,8,4,4,5,10,5,7,8,6,2,8,4,4,5,130,-130
 n AKQT3.A94.T432.9 ,e 9865.5.J6.AK7652 ,s 74.QJ86.K85.QJ83 ,w J2.KT732.AQ97.T4 ,5,3,4,1,13,600,5,2,4,3,4,9,800,1,6,7,7,7,8,7,6,6,5,5,6,7,7,7,8,7,6,6,5,5,120,-120
 n AKQJT7.AKT85.8.2 ,e 8643..T73.AKQ863 ,s 5.J976.AQ2.J9754 ,w 92.Q432.KJ9654.T ,6,5,1,1,17,300,6,1,4,3,5,8,800,2,7,4,12,11,10,6,9,1,1,1,7,4,12,10,10,6,9,1,1,1,800,-800
 n KT764.AT6.AQ93.6 ,e A9.82.JT754.T742 ,s 5.K953.62.AK9853 ,w QJ832.QJ74.K8.QJ ,5,3,4,1,13,600,5,1,4,2,6,10,600,4,10,8,10,8,9,3,4,3,4,3,10,8,10,8,9,3,4,3,4,3,420,-420
 n AKQT987.86.Q3.K5 ,e J43.AK93.2.QJT72 ,s 5.QJT54.JT96.A84 ,w 62.72.AK8754.963 ,7,2,2,2,14,500,4,1,5,4,3,8,800,2,5,6,8,8,9,7,6,5,4,4,5,6,8,8,9,7,6,5,4,4,400,-400
 n AQ7653.K63.KT3.5 ,e JT4.QT94.J.KQT62 ,s 2.A82.AQ9876542. ,w K98.J75..AJ98743 ,6,3,3,1,12,600,4,1,3,9,0,10,400,4,4,13,5,10,6,9,0,6,2,0,4,13,5,10,6,9,0,6,2,0,1440,-1440
 n AQJ75.J72.A87.A7 ,e K83.T3.J964.T865 ,s T6.AQ854.QT2.QJ2 ,w 942.K96.K53.K943 ,5,3,3,2,16,650,6,2,5,3,3,11,750,2,8,8,11,11,9,5,5,2,2,2,8,8,11,11,9,5,5,2,2,2,450,-450
 n A98653.AK5.J.AT3 ,e K.J963.A6.QJ9874 ,s Q2.QT.K97543.K65 ,w JT74.8742.QT82.2 ,6,3,1,3,16,600,7,2,2,6,3,10,800,2,8,10,7,10,9,5,3,6,3,4,7,10,6,10,9,5,3,6,3,4,420,-420
 n AJT76.AKQ.AQT.97 ,e Q84.J5.K7643.832 ,s K.T987.J85.AJT54 ,w 9532.6432.92.KQ6 ,5,3,3,2,20,450,7,1,4,3,5,9,800,3,11,9,11,10,10,2,3,2,2,3,10,9,11,10,10,2,3,2,2,3,450,-450
 n KQ863.AKT74.T62. ,e A975.J96.K8.J742 ,s J.852.AQJ54.8653 ,w T42.Q3.973.AKQT9 ,5,5,3,0,12,500,4,1,3,5,4,8,750,2,6,11,11,8,7,7,1,2,5,6,6,11,11,8,7,7,2,2,5,6,450,-450
 n AKJT8.K65.J87.KQ ,e 643.42.AK96.8653 ,s Q.QJT3.QT42.JT42 ,w 9752.A987.53.A97 ,5,3,3,2,17,650,5,1,4,4,4,8,850,0,7,9,8,8,9,5,4,5,4,4,7,9,8,8,9,5,4,5,4,4,400,-400
 n KJT962.K3.KQ5.K7 ,e AQ87.A4.J9842.83 ,s 54.Q76.T6.AQ9654 ,w 3.JT9852.A73.JT2 ,6,2,3,2,15,450,4,2,3,2,6,8,750,2,8,6,5,8,8,4,7,8,4,4,8,5,5,8,8,4,7,8,4,4,100,-100
 n AKQT872.8.KQJT5. ,e J6.T3.A732.KT654 ,s 93.K9764..AQJ982 ,w 54.AQJ52.9864.73 ,7,1,5,0,15,200,4,2,5,0,6,10,450,3,7,11,8,12,9,3,1,4,0,4,10,11,9,12,9,3,2,4,0,4,980,-980
 n AQJ74.KJT.JT8.K3 ,e 52.74.9764.A8764 ,s T9.65.KQ532.QJ92 ,w K863.AQ9832.A.T5 ,5,3,3,2,15,600,4,2,2,5,4,8,700,1,8,10,6,8,10,4,3,7,4,3,8,10,6,8,10,4,3,7,4,3,430,-430
 n KJ985.8.7.AKJT95 ,e Q.AQT3.JT9864.87 ,s T4.KJ52.KQ53.Q42 ,w A7632.9764.A2.63 ,5,1,1,6,12,450,4,2,4,4,3,11,750,2,9,6,5,9,9,3,7,8,3,3,9,6,5,9,10,3,7,8,3,3,430,-430
 n JT7532.QJ.A4.AJ2 ,e KQ96.T.QT762.QT6 ,s 84.K7543.K9.K984 ,w A.A9862.J853.753 ,6,2,2,3,13,800,4,2,5,2,4,9,700,3,8,4,7,7,6,5,9,6,5,6,7,4,7,7,6,5,9,6,5,6,-110,110
 n K9764.5.KQJ62.A6 ,e QJT5.K432.A83.K4 ,s A3.AJ.T54.QT9875 ,w 82.QT9876.97.J32 ,5,1,5,2,13,500,4,2,2,3,6,11,750,4,10,11,5,9,7,3,2,8,4,5,10,11,5,9,7,3,2,8,4,5,400,-400
 n KQT95.KQT6.Q.AJ3 ,e 432.75.A8532.854 ,s A.842.KJT.QT9762 ,w J876.AJ93.9764.K ,5,4,1,3,17,500,4,1,3,3,6,10,700,3,11,7,10,10,11,1,5,2,3,2,11,7,10,10,11,1,5,2,3,2,460,-460
 n AJT43.K752.K4.J3 ,e Q82.63.Q98.KQ982 ,s 7.AT4.AJ753.T654 ,w K965.QJ98.T62.A7 ,5,4,2,2,12,650,4,1,3,5,4,9,800,4,8,9,9,8,9,5,4,4,5,4,8,9,9,8,9,5,4,4,5,4,400,-400
 n AQT72.QJT53..AQ3 ,e K943.A84.AJ762.K ,s 5.K972.KQ983.984 ,w J86.6.T54.JT7652 ,5,5,0,3,15,400,4,1,4,5,3,8,700,2,7,6,11,8,9,6,6,2,5,4,7,6,11,8,9,6,6,2,5,4,450,-450
 n AQ765.Q964.K86.J ,e 32..QJT7542.AK98 ,s T.KJT8732.A.T642 ,w KJ984.A5.93.Q753 ,5,4,3,1,12,650,3,1,7,1,4,8,550,3,5,4,11,6,8,8,8,2,7,5,5,3,11,6,8,8,9,2,7,5,450,-450
 n AKQ987.J3.A7.JT4 ,e J6.97.J85.KQ8632 ,s 32.KT652.QT9.A97 ,w T54.AQ84.K6432.5 ,6,2,2,3,15,600,5,2,5,3,3,9,850,3,7,7,9,10,10,5,5,3,3,3,8,7,9,10,10,5,5,4,3,3,430,-430
 n KQT653.9.K63.A52 ,e 872.85.AJ98.KQ83 ,s A4.AJ732.75.T976 ,w J9.KQT64.QT42.J4 ,6,1,3,3,12,600,4,2,5,2,4,9,800,4,8,5,6,9,8,5,8,7,4,5,7,4,6,9,8,5,8,7,4,5,140,-140
 n K76542.KJ2.2.KQ2 ,e Q83.Q953.KT84.J7 ,s JT.AT864.A3.T984 ,w A9.7.QJ9765.A653 ,6,3,1,3,12,600,3,2,5,2,4,9,800,4,8,4,10,10,6,4,9,3,3,4,8,4,10,10,6,4,9,3,3,4,300,-300
 n A96532.AK3.T3.K2 ,e 8.94.K9764.J8654 ,s Q.Q2.AJ852.QT973 ,w KJT74.JT8765.Q.A ,6,3,2,2,14,600,6,1,2,5,5,11,750,2,9,10,6,8,9,3,3,6,5,3,9,10,6,8,9,3,3,6,5,3,400,-400
